Start,Stop,Type,Bus,Year,Month,Week,Hour,Counts
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","1","Sun","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","3","Sun","8","4"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","4","Sun","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","5","Sun","8","3"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","6","Sun","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","7","Sun","8","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","8","Sun","8","10"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","9","Sun","8","2"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","1","Sun","9","2"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","3","Sun","9","3"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","4","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","5","Sun","9","5"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","7","Sun","9","10"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","8","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","10","Sun","9","4"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","11","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","12","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","1","Sun","9","6"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","5","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","9","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2016","10","Sun","9","1"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","1","Sun","10","13"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","2","Sun","10","11"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","3","Sun","10","14"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","4","Sun","10","5"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","5","Sun","10","5"
"臺中火車站","國立臺中科技大學","代幣全","B12","2015","6","Sun","10","1"
